project_name	config_file	working_dir	services	containers	container_count	status	location	networks
dixtdf_image-tools-desktop-extension	C:\Users\masoo\AppData\Roaming\Docker\extensions\dixtdf_image-tools\vm\docker-compose.yaml				0	running(1)	Windows (C:\)	dixtdf_image-tools-desktop-extension_default
helloapi	/home/masoud/dotnet-learning/HelloApi/docker-compose.yml	/home/masoud/dotnet-learning/HelloApi	api	helloapi	1	exited(1)	WSL (/home/masoud)	helloapi_default
laravellivewireadmin	E:\LocalDev\Laravel\laravelLivewireAdmin\docker-compose.yml	E:\LocalDev\Laravel\laravelLivewireAdmin	app, composer, db, web	web, app, db, laravel_livewire_composer	4	exited(4)	Windows (E:\)	laravellivewireadmin_appnet, laravellivewireadmin_default
login	E:\LocalDevelopments\React\login\docker-compose.yml	E:\LocalDevelopments\React\login	backend, db, frontend, phpmyadmin	php_backend, react_frontend, phpmyadmin, mysql_db	4	exited(3), running(1)	Windows (E:\)	login_mynetwork
maltus_docker-logs-viewer-desktop-extension	C:\Users\masoo\AppData\Roaming\Docker\extensions\maltus_docker-logs-viewer\vm\docker-compose.yaml				0	restarting(1)	Windows (C:\)	maltus_docker-logs-viewer-desktop-extension_default
mylaravel	E:\LocalDevelopments\myLaravel\docker-compose.yml	E:\LocalDevelopments\myLaravel	app, db, node, phpmyadmin, webserver	mylaravel-webserver-1, mylaravel-app-1, mylaravel-phpmyadmin-1, mylaravel-node-1, mylaravel-db-1	5	exited(5)	Windows (E:\)	mylaravel_laravel_network
mylaravelreact	E:\LocalDevelopments\Laravel\myLaravelReact\docker-compose.yml	E:\LocalDevelopments\Laravel\myLaravelReact	app, db, node, phpmyadmin, webserver	mylaravelreact-webserver-1, mylaravelreact-app-1, mylaravelreact-phpmyadmin-1, mylaravelreact-node-1, mylaravelreact-db-1	5	exited(5)	Windows (E:\)	mylaravelreact_laravel_network
mylaravelreactnew	E:\LocalDevelopments\Laravel\myLaravelReactNew\docker-compose.yml	E:\LocalDevelopments\Laravel\myLaravelReactNew	app, db, node, phpmyadmin, webserver	mylaravelreactnew-webserver-1, mylaravelreactnew-app-1, mylaravelreactnew-phpmyadmin-1, mylaravelreactnew-node-1, mylaravelreactnew-db-1	5	exited(5)	Windows (E:\)	mylaravelreactnew_laravel_network
ozcarlab	E:\LocalDev\ozCarLab\docker-compose.yml	E:\LocalDev\ozCarLab	db, pgadmin, web	ozcarlab-web-1, ozcarlab-pgadmin-1, ozcarlab-db-1	3	exited(3)	Windows (E:\)	ozcarlab_my_network
quiz-game-laravel					0	no containers (orphan)	unknown	quiz-game-laravel_quiznet
quizgame	E:\LocalDevelopments\Laravel\quizGame\docker-compose.yml	E:\LocalDevelopments\Laravel\quizGame	app, db, node, phpmyadmin, webserver	quizgame-webserver-1, quizgame-app-1, quizgame-phpmyadmin-1, quizgame-node-1, quizgame-db-1	5	exited(5)	Windows (E:\)	quizgame_laravel_network
quizgamevfour	E:\LocalDev\Laravel\quizGameVfour\docker-compose.yml	E:\LocalDev\Laravel\quizGameVfour	app, mysql, nginx, phpmyadmin	quiz-nginx-4, quiz-laravel-app-4, quiz-mysql-4, quiz-phpmyadmin-4	4	exited(4)	Windows (E:\)	quizgamevfour_quiznet
quizgamevtwo	E:\LocalDev\Laravel\quizGameVtwo\docker-compose.yml	E:\LocalDev\Laravel\quizGameVtwo	app, mysql, nginx, phpmyadmin	quiz-nginx, quiz-laravel-app, quiz-mysql, quiz-phpmyadmin	4	exited(3), running(1)	Windows (E:\)	quizgamevtwo_quiznet
sadaqa_new_api	/home/masoud/sadaqa_new_api/docker-compose.yml	/home/masoud/sadaqa_new_api	app, mysql, nginx, phpmyadmin	sadaqa_new_api_nginx, sadaqa_new_api, sadaqa_new_api_mysql, sadaqa_new_api_phpmyadmin	4	exited(3), running(1)	WSL (/home/masoud)	sadaqa_new_api_sadaqa_new_api_net
whisper-app					0	no containers (orphan)	unknown	whisper-app_default
