container_name	container_id	mount_type	kind	source	destination	mode	volume_name	driver	compose_project
amazing_shirley	e9d2cbbbf740	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
flamboyant_yonath	9e25f44d8d3e	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
funny_leakey	bc20b2bcd0de	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
nostalgic_hodgkin	b5b203da2431	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
pensive_shirley	e199d58f661a	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
wonderful_dijkstra	fa37dae05464	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
bold_kowalevski	fefafb33803d	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
brave_pike	78c35ea3c189	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
boring_yalow	1fc5616e8b26	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
competent_spence	d586a3894d07	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
laughing_goldberg	53824002cc5d	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
dazzling_johnson	8ea6f691d401	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
gracious_moser	79b1a66c24ec	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
distracted_wilson	88555b7f7e96	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
modest_gates	6265e6d7c487	bind	bind-mount	/home/masoud/python-learning/sales-analytics-service	/app	rw			
sadaqa_new_api_nginx	7203753a4f4d	bind	bind-mount	/home/masoud/sadaqa_new_api/docker/nginx/default.conf	/etc/nginx/conf.d/default.conf	rw			sadaqa_new_api
sadaqa_new_api_nginx	7203753a4f4d	bind	bind-mount	/home/masoud/sadaqa_new_api	/var/www/html	rw			sadaqa_new_api
sadaqa_new_api	765a5dbc2a4c	bind	bind-mount	/home/masoud/sadaqa_new_api	/var/www/html	rw			sadaqa_new_api
sadaqa_new_api_mysql	2e05b9044088	bind	bind-mount	/home/masoud/sadaqa_new_api/docker/mysql/data	/var/lib/mysql	rw			sadaqa_new_api
web	ab08945e94a2	bind	bind-mount	E:\LocalDev\Laravel\laravelLivewireAdmin\docker\nginx\default.conf	/etc/nginx/conf.d/default.conf	rw			laravellivewireadmin
web	ab08945e94a2	bind	bind-mount	E:\LocalDev\Laravel\laravelLivewireAdmin\src	/var/www/html	rw			laravellivewireadmin
